link_id,from_node_id,to_node_id,from_cell_code,time_period,volume,background_volume,major_path_volume,ratio_of_major_path_flow,geometry,notes
200820AB,202925,202924,,0600_0900,192.518,13.859,178.659,0.928,"LINESTRING (-112.446534 33.715240, -112.463350 33.712930)",
200820AB,202925,202924,,1000_1500,2.851,0.000,2.851,1.000,"LINESTRING (-112.446534 33.715240, -112.463350 33.712930)",
200820AB,202925,202924,,1500_1800,1.600,0.000,1.600,1.000,"LINESTRING (-112.446534 33.715240, -112.463350 33.712930)",
200820BA,202924,202925,,0600_0900,4525.957,2.188,4523.769,1.000,"LINESTRING (-112.462914 33.709754, -112.446098 33.712064)",
200820BA,202924,202925,,1000_1500,2.750,0.000,2.750,1.000,"LINESTRING (-112.462914 33.709754, -112.446098 33.712064)",
200820BA,202924,202925,,1500_1800,1.544,0.000,1.544,1.000,"LINESTRING (-112.462914 33.709754, -112.446098 33.712064)",
200821AB,202925,202923,,0600_0900,5260.783,2.188,5258.595,1.000,"LINESTRING (-112.445319 33.714907, -112.459997 33.726565)",
200821AB,202925,202923,,1000_1500,1119.011,0.000,1119.011,1.000,"LINESTRING (-112.445319 33.714907, -112.459997 33.726565)",
200821AB,202925,202923,,1500_1800,628.227,0.000,628.227,1.000,"LINESTRING (-112.445319 33.714907, -112.459997 33.726565)",
200821BA,202923,202925,,0600_0900,5695.726,13.859,5681.867,0.998,"LINESTRING (-112.461991 33.724055, -112.447313 33.712397)",
200821BA,202923,202925,,1000_1500,1183.322,0.000,1183.322,1.000,"LINESTRING (-112.461991 33.724055, -112.447313 33.712397)",
200821BA,202923,202925,,1500_1800,664.332,0.000,664.332,1.000,"LINESTRING (-112.461991 33.724055, -112.447313 33.712397)",
200831AB,202909,202908,,0600_0900,6233.303,0.000,6233.303,1.000,"LINESTRING (-112.452710 33.640116, -112.461465 33.639989)",
200831AB,202909,202908,,1000_1500,18.033,0.000,18.033,1.000,"LINESTRING (-112.452710 33.640116, -112.461465 33.639989)",
200831AB,202909,202908,,1500_1800,10.124,0.000,10.124,1.000,"LINESTRING (-112.452710 33.640116, -112.461465 33.639989)",
