link_id,vdf_type,from_node_id,to_node_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,preload_volume,person_volume,travel_time,speed,speed_ratio,VOC,DOC,capacity,queue,avg_waiting_time_in_min,qdf,lanes,D,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_sov,person_vol_hov2,person_vol_hov3,person_vol_sut,person_vol_mut,obs_count,upper_bound_type,dev,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,TT_0,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,SVol_0,SVol_1,SVol_2,SVol_3,SVol_4,SVol_5,SVol_6,SVol_7,SVol_8,SVol_9,SVol_10,SVol_11,SVol_12,SVol_13,SVol_14,SVol_15,SVol_16,SVol_17,SVol_18,SVol_19,notes
200820AB,qvdf,202925,202924,,,-1,0,-1,-1,4,,4,1500_1800,408.793,1.600,408.793,1.679,36.675,0.940,0.273,0.290,500.000,0.000,0.100,0.355,1.000,145.061,1.169,1.195,0.143,0.000,39.000,33.150,0.498,1.000,36.675,30.941,419.565,11.440,419.565,11.440,0.682,0.000,"LINESTRING (-112.446534 33.715240, -112.463350 33.712930)",407.2,0.0,0.0,0.0,0.0,195.8,0,213.0,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.900,38.598,38.297,37.995,37.694,37.392,37.091,36.790,34.853,37.330,37.956,38.583,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,408.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200820BA,qvdf,202924,202925,,,-1,0,-1,-1,4,,4,1500_1800,477.247,1.544,477.247,1.709,36.031,0.924,0.318,0.339,500.000,0.000,0.130,0.355,1.000,169.352,1.169,1.195,0.187,0.000,39.000,33.150,0.498,1.000,36.031,30.334,489.822,13.595,489.822,13.595,1.035,0.000,"LINESTRING (-112.462914 33.709754, -112.446098 33.712064)",475.7,0.0,0.0,0.0,0.0,146.3,0,330.9,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.870,38.481,38.092,37.702,37.313,36.924,36.534,36.991,35.053,36.817,37.635,38.454,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,477.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200821AB,qvdf,202925,202923,,,-1,0,-1,-1,2,,2,1500_1800,4065.161,628.227,4065.161,1.693,41.324,0.738,0.753,0.815,900.000,0.000,0.444,0.361,2.000,733.796,1.235,1.177,0.874,0.000,56.000,47.600,0.457,1.000,41.324,34.009,4741.116,114.730,4741.116,114.730,30.068,15.127,"LINESTRING (-112.445319 33.714907, -112.459997 33.726565)",3436.9,0.0,0.0,0.0,0.0,3833.2,0,232.0,55.977,55.910,55.842,55.774,55.706,55.638,55.571,52.768,55.651,55.746,55.841,55.937,55.966,55.865,55.765,55.664,55.563,55.462,55.361,55.260,55.159,55.058,54.958,54.857,54.756,54.655,51.866,54.772,54.913,55.055,55.197,55.339,55.480,55.622,55.764,55.906,55.552,54.209,52.865,51.522,50.178,48.835,51.323,38.787,35.681,49.786,49.785,53.514,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,4065.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200821BA,qvdf,202923,202925,,,-1,0,-1,-1,2,,2,1500_1800,3750.855,664.332,3750.855,1.637,42.752,0.763,0.695,0.752,900.000,0.000,0.387,0.361,2.000,677.061,1.235,1.177,0.762,0.000,56.000,47.600,0.457,1.000,42.752,35.294,4374.547,102.322,4374.547,102.322,24.206,10.421,"LINESTRING (-112.461991 33.724055, -112.447313 33.712397)",3086.5,0.0,0.0,0.0,0.0,3956.1,0,-205.2,55.975,55.901,55.826,55.752,55.677,55.603,55.528,52.725,55.617,55.721,55.826,55.930,55.963,55.852,55.742,55.631,55.520,55.409,55.299,55.188,55.077,54.967,54.856,54.745,54.634,54.524,51.737,54.651,54.807,54.963,55.118,55.274,55.429,55.585,55.741,55.896,55.568,54.270,52.973,51.676,50.379,49.082,50.081,41.355,37.440,49.788,50.344,53.738,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,3750.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200831AB,qvdf,202909,202908,,,-1,0,-1,-1,2,,2,1500_1800,2424.427,10.124,2424.427,0.892,33.975,0.871,0.449,0.486,900.000,0.000,0.115,0.361,2.000,437.630,1.235,1.177,0.364,0.000,39.000,33.150,0.457,1.000,33.975,28.420,1224.287,36.035,1224.287,36.035,4.643,0.000,"LINESTRING (-112.452710 33.640116, -112.461465 33.639989)",2414.3,0.0,0.0,0.0,0.0,2147.5,0,277.0,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.000,39.000,39.000,39.000,39.000,38.770,38.079,37.388,36.697,36.006,35.315,34.624,34.813,32.899,34.905,36.441,37.976,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,2424.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200831BA,qvdf,202908,202909,,,-1,0,-1,-1,2,,2,1500_1800,1560.342,10.076,1560.342,0.831,36.446,0.935,0.289,0.313,900.000,0.000,0.054,0.361,2.000,281.655,1.235,1.177,0.172,0.000,39.000,33.150,0.457,1.000,36.446,30.727,787.942,21.619,787.942,21.619,1.416,0.000,"LINESTRING (-112.461419 33.636783, -112.452664 33.636910)",1550.3,0.0,0.0,0.0,0.0,1497.0,0,63.4,39.000,39.000,39.000,39.000,39.000,39.000,39.000,37.050,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.000,39.000,39.000,39.000,39.000,38.889,38.555,38.222,37.888,37.554,37.221,36.887,37.391,35.451,37.137,37.836,38.534,39.000,39.000,39.000,39.000,39.000,39.000,39.000,39.000,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1560.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200833AB,qvdf,202905,202904,,,-1,0,-1,-1,4,,4,1500_1800,1.000,0.000,1.000,3.266,40.000,1.000,0.001,0.001,500.000,0.000,0.000,0.355,1.000,0.355,1.169,1.195,0.000,0.000,40.000,34.000,0.498,1.000,40.000,34.000,2.177,0.054,2.177,0.054,0.000,0.000,"LINESTRING (-112.478596 33.680470, -112.440812 33.680415)",1.0,0.0,0.0,0.0,0.0,7.8,0,-6.8,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,38.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200833BA,qvdf,202904,202905,,,-1,0,-1,1,4,,4,1500_1800,10.327,0.000,10.327,3.266,39.995,1.000,0.007,0.007,500.000,0.000,0.000,0.355,1.000,3.665,1.169,1.195,0.000,0.000,40.000,34.000,0.498,1.000,39.995,33.995,22.483,0.562,22.483,0.562,0.000,0.000,"LINESTRING (-112.440808 33.683621, -112.478592 33.683676)",10.3,0.0,0.0,0.0,0.0,9.2,0,1.1,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.999,39.999,39.998,39.997,39.997,39.996,39.995,37.996,39.997,39.998,39.999,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,10.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200846AB,qvdf,615,202905,,,-1,0,-1,-1,9,,9,1500_1800,1.000,0.000,1.000,3.660,20.000,1.000,0.000,0.000,99999.000,0.000,0.000,0.355,9.000,0.039,1.169,1.195,0.000,0.000,20.000,17.000,0.498,1.000,20.000,17.000,1.220,0.061,1.220,0.061,0.000,0.000,"LINESTRING (-112.462929 33.694446, -112.479483 33.683406)",1.0,0.0,0.0,0.0,0.0,7.5,0,-6.5,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,19.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200846BA,qvdf,202905,615,,,-1,0,-1,-1,9,,9,1500_1800,10.327,0.000,10.327,3.660,20.000,1.000,0.000,0.000,99999.000,0.000,0.000,0.355,9.000,0.407,1.169,1.195,0.000,0.000,20.000,17.000,0.498,1.000,20.000,17.000,12.600,0.630,12.600,0.630,0.000,0.000,"LINESTRING (-112.477705 33.680740, -112.461151 33.691780)",10.3,0.0,0.0,0.0,0.0,8.9,0,1.5,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,19.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,10.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
