od_no,o_zone_id,d_zone_id,o_zone_agent_type_cover_flag,d_zone_agent_type_cover_flag,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,travel_time_without_access_link,#_of_nodes,distance_kmOD0,OD1,OD2,OD3,OD4,OD5,OD6,OD7,OD8,OD9,OD10,OD11,OD12,OD13,OD14,OD15,OD16,OD17,OD18,OD19,
1,1,2,0,0,0,0,sov,PM,154.14,0,1,1,0.0,12.0,12.0051,12.0051,13,6.5403,518.190002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2,1,3,0,0,0,0,sov,PM,973.22,0,1,1,0.0,14.9,14.8536,14.8536,15,7.9349,459.720001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3,1,3,0,0,1,0,sov,PM,308.29,0,1,1,0.0,14.9,14.9474,14.9474,16,8.0582,459.720001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4,1,4,0,0,0,0,sov,PM,3092.33,0,1,1,0.0,10.4,10.4124,10.4124,13,9.8951,3472.909912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5,1,5,0,0,0,0,sov,PM,187.14,0,1,1,0.0,15.7,15.7004,15.7004,20,12.0918,117.940002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
6,1,6,0,0,0,0,sov,PM,1162.51,0,1,1,0.0,16.7,16.7148,16.7148,16,12.2180,993.929993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
7,1,8,0,0,0,0,sov,PM,63.44,0,1,1,0.0,5.8,5.8235,5.8235,8,3.5154,9.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
8,1,9,0,0,0,0,sov,PM,18.04,0,1,1,0.0,13.9,13.9402,13.9402,16,7.3773,8.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
9,1,9,0,0,1,0,sov,PM,4.37,0,1,1,0.0,14.0,14.0341,14.0341,17,7.5006,8.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
10,1,10,0,0,0,0,sov,PM,7.55,0,1,1,0.0,15.7,15.6769,15.6769,18,8.2978,5.540000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
11,1,10,0,0,1,0,sov,PM,1.58,0,1,1,0.0,15.8,15.7707,15.7707,19,8.4211,5.540000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
12,1,12,0,0,0,0,sov,PM,2.84,0,1,1,0.0,15.0,14.9989,14.9989,20,11.5304,1.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
13,1,14,0,0,0,0,sov,PM,11.14,0,1,1,0.0,13.2,13.2218,13.2218,17,10.4630,5.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
14,1,16,0,0,0,0,sov,PM,1.10,0,1,1,0.0,15.8,15.8270,15.8270,18,11.4206,1.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
15,1,17,0,0,0,0,sov,PM,10.42,0,1,1,0.0,14.2,14.1513,14.1513,16,10.0114,9.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
16,1,19,0,0,0,0,sov,PM,17.70,0,1,1,0.0,13.2,13.1845,13.1845,14,7.0294,7.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
17,1,19,0,0,1,0,sov,PM,5.39,0,1,1,0.0,13.3,13.2783,13.2783,15,7.1527,7.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
18,1,602,0,0,0,0,sov,PM,2.12,0,1,1,0.0,21.2,21.1982,21.1982,20,13.6477,1.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
