first_column,path_no,o_zone_id,d_zone_id,within_OD_path_no,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,OD_impact_flag,path_network_design_flag,toll,#_of_nodes,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,node_sequence,link_sequence,geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence
,69,2,6,0,1,0,sov,PM,6.48,0,1,2,2,0,14,25.6,25.6037,25.6037,12.1108,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202796;202925;202923;202926;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201595BA;200821AB;201003BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.480687 33.740538)",,,,
,70,2,6,2,3,0,sov,PM,41.91,0,1,2,1,0,20,22.4,22.447,22.447,12.5529,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202923;202926;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200821AB;201003BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.480687 33.740538)",,,,
,71,2,6,1,2,0,sov,PM,67.83,0,1,2,1,0,22,22.7,22.6691,22.6691,12.9569,202354;202783;202782;202522;202523;202517;202518;202519;202505;202506;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202923;202926;,201823BA;201070AB;201573BA;201494BA;201581BA;201497BA;201530BA;201531AB;201536AB;201537BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200821AB;201003BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.337504 33.649679, -112.348458 33.654638, -112.358748 33.661900, -112.364881 33.665829, -112.371726 33.670753, -112.379549 33.672571, -112.387473 33.671728, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.480687 33.740538)",,,,
,79,2,16,0,1,0,sov,PM,0.92,0,1,2,2,0,16,24.7,24.7123,24.7123,11.3133,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202796;202925;202924;202825;202824;202894;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201595BA;200820AB;201001AB;201000AB;200998AB;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.469722 33.711339, -112.478543 33.711346)",,,,
,80,2,16,2,3,0,sov,PM,1.3,0,1,2,1,0,22,21.6,21.5556,21.5556,11.7554,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202924;202825;202824;202894;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;201001AB;201000AB;200998AB;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.469722 33.711339, -112.478543 33.711346)",,,,
,81,2,16,1,2,0,sov,PM,2.79,0,1,2,1,0,24,21.8,21.7777,21.7777,12.1595,202354;202783;202782;202522;202523;202517;202518;202519;202505;202506;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202924;202825;202824;202894;,201823BA;201070AB;201573BA;201494BA;201581BA;201497BA;201530BA;201531AB;201536AB;201537BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;201001AB;201000AB;200998AB;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.337504 33.649679, -112.348458 33.654638, -112.358748 33.661900, -112.364881 33.665829, -112.371726 33.670753, -112.379549 33.672571, -112.387473 33.671728, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.469722 33.711339, -112.478543 33.711346)",,,,
,87,2,615,0,1,0,sov,PM,0.94,0,1,2,2,0,15,27.2,27.2473,27.2473,11.7442,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202796;202925;202924;202825;615;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201595BA;200820AB;201001AB;200997BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.462040 33.693113)",,,,
,88,2,615,2,3,0,sov,PM,1.28,0,1,2,1,0,21,24.1,24.0906,24.0906,12.1863,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202924;202825;615;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;201001AB;200997BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.462040 33.693113)",,,,
,89,2,615,1,2,0,sov,PM,2.8,0,1,2,1,0,23,24.3,24.3127,24.3127,12.5904,202354;202783;202782;202522;202523;202517;202518;202519;202505;202506;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202924;202825;615;,201823BA;201070AB;201573BA;201494BA;201581BA;201497BA;201530BA;201531AB;201536AB;201537BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;201001AB;200997BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.337504 33.649679, -112.348458 33.654638, -112.358748 33.661900, -112.364881 33.665829, -112.371726 33.670753, -112.379549 33.672571, -112.387473 33.671728, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.462040 33.693113)",,,,
,94,2,620,0,1,0,sov,PM,1.07,0,1,2,2,0,13,22.6,22.5962,22.5962,9.4608,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202796;202904;620;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201061AB;201290BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.440810 33.682018, -112.433183 33.684132)",,,,
